annee,type_produit,nom_produit,quantite,prix,vecteur_id,country,annee_str,client,prix_total
2025,CHAMPAGNE,Blanc de Meunier (SSA) (Conv.Bio) Brut Nature 750 mL CRD,0,0.0,20,non renseigné,2025,20,0.0
2024,CHAMPAGNE,"Eurêka ! ""Méthode Nature""(SSA)  Brut Nature 750 ml / CRD",1,99.17,20,non renseigné,2024,20,99.17
2025,CHAMPAGNE,"Eurêka ! ""Méthode Nature""(SSA)  Brut Nature 750 ml / CRD",0,0.0,20,non renseigné,2025,20,0.0
2024,CHAMPAGNE,Rosé de Saignée (SSA) (Conv.Bio) Brut Nature 750 mL CRD,1,65.83,20,non renseigné,2024,20,65.83
2025,CHAMPAGNE,Rosé de Saignée (SSA) (Conv.Bio) Brut Nature 750 mL CRD,0,0.0,20,non renseigné,2025,20,0.0
2024,DIVERS,Visite à 50€ TTC / personne,0,166.67,20,non renseigné,2024,20,166.67
2025,DIVERS,Visite à 50€ TTC / personne,0,0.0,20,non renseigné,2025,20,0.0
2024,GOODIES,BONNET CHAVOST,0,50.0,20,non renseigné,2024,20,50.0
2025,GOODIES,BONNET CHAVOST,0,0.0,20,non renseigné,2025,20,0.0
2024,RATAFIA,Ratafia Soléra (SSA) 700 mL,1,0.0,20,non renseigné,2024,20,0.0
2025,RATAFIA,Ratafia Soléra (SSA) 700 mL,0,0.0,20,non renseigné,2025,20,0.0
2024,GOODIES,Boite de 6 verres Chavost  47CL,0,20.83,21,non renseigné,2024,21,20.83
2025,GOODIES,Boite de 6 verres Chavost  47CL,0,0.0,21,non renseigné,2025,21,0.0
2024,CHAMPAGNE,Blanc Assemblage (SSA) (Viti Raisonnée) Brut Nature 1500 mL CRD,2,82.5,22,non renseigné,2024,22,82.5
2025,CHAMPAGNE,Blanc Assemblage (SSA) (Viti Raisonnée) Brut Nature 1500 mL CRD,0,0.0,22,non renseigné,2025,22,0.0
2024,DIVERS,CAISSE TSR a SKI,0,10320.0,23,non renseigné,2024,23,10320.0
2025,DIVERS,CAISSE TSR a SKI,0,0.0,23,non renseigné,2025,23,0.0
2024,CHAMPAGNE,TERROIR BRUT 750 mL CRD,6,67.2,24,non renseigné,2024,24,67.2
2025,CHAMPAGNE,TERROIR BRUT 750 mL CRD,0,0.0,24,non renseigné,2025,24,0.0
2024,RATAFIA,RATAFIA ESPRIT DE BLANCS 50cl / CRD,6,56.25,24,non renseigné,2024,24,56.25
2025,RATAFIA,RATAFIA ESPRIT DE BLANCS 50cl / CRD,0,0.0,24,non renseigné,2025,24,0.0
2024,CHAMPAGNE,Esprit de Blancs Brut 750 mL CRD,6,75.0,25,non renseigné,2024,25,75.0
2025,CHAMPAGNE,Esprit de Blancs Brut 750 mL CRD,0,0.0,25,non renseigné,2025,25,0.0
2024,CHAMPAGNE,TERROIR BRUT 750 mL CRD,6,67.02,25,non renseigné,2024,25,67.02
2025,CHAMPAGNE,TERROIR BRUT 750 mL CRD,30,335.82,25,non renseigné,2025,25,335.82
2024,RATAFIA,RATAFIA ESPRIT DE BLANCS 50cl / CRD,0,0.0,25,non renseigné,2024,25,0.0
2025,RATAFIA,RATAFIA ESPRIT DE BLANCS 50cl / CRD,6,56.25,25,non renseigné,2025,25,56.25
2024,CHAMPAGNE,Blanc Assemblage (SSA) (Viti Raisonnée) Brut Nature 750 mL CRD,1,19.95,26,non renseigné,2024,26,19.95
2025,CHAMPAGNE,Blanc Assemblage (SSA) (Viti Raisonnée) Brut Nature 750 mL CRD,0,0.0,26,non renseigné,2025,26,0.0
2024,CHAMPAGNE,Blanc de Meunier (SSA) (Conv.Bio) Brut Nature 750 mL CRD,1,27.5,26,non renseigné,2024,26,27.5
2025,CHAMPAGNE,Blanc de Meunier (SSA) (Conv.Bio) Brut Nature 750 mL CRD,0,0.0,26,non renseigné,2025,26,0.0
2024,CHAMPAGNE,"Eurêka ! ""Méthode Nature""(SSA)  Brut Nature 750 ml / CRD",1,60.0,26,non renseigné,2024,26,60.0
2025,CHAMPAGNE,"Eurêka ! ""Méthode Nature""(SSA)  Brut Nature 750 ml / CRD",0,0.0,26,non renseigné,2025,26,0.0
